팀뮌寧뵨랗憐북폅윱돨깊목,,,,,,,,,
Future Time,Time (Jump) LPIPS,Rollout 1FPS LPIPS,Rollout 4FPS LPIPS,Time (Jump) DreamSim,Rollout 1FPS DreamSim,Rollout 4FPS DreamSim,Time (Jump) FID,Rollout 1FPS FID,Rollout 4FPS FID
1s,0.425,0.434,0.47,0.216,0.222,0.241,37.04,58.22,60.07
2s,0.45,0.473,0.514,0.232,0.244,0.269,35.89,60.56,64.17
4s,0.478,0.518,0.545,0.251,0.276,0.306,37.78,61.42,65.45
8s,0.503,0.552,0.583,0.272,0.322,0.357,39.31,69.19,72.34
16s,0.531,0.596,0.601,0.299,0.377,0.38,39.5,74.31,78.55
,,,,,,,,,
팀뮌힛,,,,,,,,,
寧깃,써벎,데貫,,,,,,,
ATE,5.697,m,,,,,,,
RPE,1.1907,m,,,,,,,
PN,9.1334,m,,,,,,,
YN,0.3937,rad,,,,,,,
